19시 10분 34초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 50초    6   20.41    0.00    8.16   23.47    0.00    3.06    0.00    0.00    0.00   44.90
19시 10분 50초    7   14.89    0.00    6.38   27.66    0.00    2.13    0.00    0.00    0.00   48.94
19시 10분 50초    8   20.41    0.00    6.12   30.61    0.00    3.06    0.00    0.00    0.00   39.80
19시 10분 50초    9   25.26    0.00    9.47   16.84    0.00    3.16    0.00    0.00    0.00   45.26
19시 10분 50초   10   28.00    0.00    8.00   13.00    0.00    5.00    0.00    0.00    0.00   46.00
19시 10분 50초   11   25.00    0.00   12.50   15.62    0.00    2.08    0.00    0.00    0.00   44.79

19시 10분 50초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 51초  all   33.11    0.00    7.89   20.71    0.00    3.31    0.00    0.00    0.00   34.97
19시 10분 51초    0   26.53    0.00    4.08   27.55    0.00    4.08    0.00    0.00    0.00   37.76
19시 10분 51초    1   21.05    0.00    7.37   28.42    0.00    2.11    0.00    0.00    0.00   41.05
19시 10분 51초    2   25.25    0.00    7.07   28.28    0.00    3.03    0.00    0.00    0.00   36.36
19시 10분 51초    3   31.91    0.00    9.57   24.47    0.00    7.45    0.00    0.00    0.00   26.60
19시 10분 51초    4   34.00    0.00   10.00   15.00    0.00    4.00    0.00    0.00    0.00   37.00
19시 10분 51초    5   95.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19시 10분 51초    6   23.40    0.00    9.57   27.66    0.00    4.26    0.00    0.00    0.00   35.11
19시 10분 51초    7   24.74    0.00    6.19   27.84    0.00    3.09    0.00    0.00    0.00   38.14
19시 10분 51초    8   22.45    0.00    8.16   27.55    0.00    3.06    0.00    0.00    0.00   38.78
19시 10분 51초    9   33.00    0.00    9.00   15.00    0.00    4.00    0.00    0.00    0.00   39.00
19시 10분 51초   10   30.69    0.00    9.90   12.87    0.00    2.97    0.00    0.00    0.00   43.56
19시 10분 51초   11   27.45    0.00    8.82   15.69    0.00    1.96    0.00    0.00    0.00   46.08

19시 10분 51초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 52초  all   36.09    0.00    9.61   19.88    0.00    2.67    0.00    0.00    0.00   31.75
